"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  "
"AKZOINDIA","EQ","28-Mar-2025","3,717.45","3,651.00","3,651.00","3,542.50","3,591.00","3,598.00","3,588.05","17,679","6,34,33,102.60","5,248"
"AKZOINDIA","EQ","27-Mar-2025","3,324.70","3,325.00","3,812.00","3,314.05","3,590.00","3,717.45","3,616.65","1,02,925","37,22,43,807.30","18,003"
"AKZOINDIA","EQ","26-Mar-2025","3,350.60","3,351.00","3,361.95","3,294.05","3,325.00","3,324.70","3,342.04","36,894","12,33,01,371.30","2,415"
"AKZOINDIA","EQ","25-Mar-2025","3,353.70","3,382.50","3,382.70","3,290.05","3,380.00","3,350.60","3,324.15","6,207","2,06,33,012.65","3,002"
"AKZOINDIA","EQ","24-Mar-2025","3,375.35","3,378.55","3,400.00","3,312.20","3,332.00","3,353.70","3,335.32","8,593","2,86,60,362.95","2,454"
"AKZOINDIA","EQ","21-Mar-2025","3,299.85","3,299.85","3,399.95","3,272.20","3,382.15","3,375.35","3,346.05","9,089","3,04,12,227.40","3,321"
"AKZOINDIA","EQ","20-Mar-2025","3,222.10","3,250.20","3,320.00","3,247.20","3,283.90","3,299.85","3,288.08","9,514","3,12,82,773.90","3,038"
"AKZOINDIA","EQ","19-Mar-2025","3,238.00","3,238.00","3,250.20","3,181.80","3,238.00","3,222.10","3,211.18","9,257","2,97,25,867.60","3,518"
"AKZOINDIA","EQ","18-Mar-2025","3,130.45","3,133.90","3,256.65","3,118.80","3,211.50","3,238.00","3,208.67","9,293","2,98,18,167.05","1,891"
"AKZOINDIA","EQ","17-Mar-2025","3,124.50","3,160.35","3,162.00","3,090.10","3,133.90","3,130.45","3,127.77","8,056","2,51,97,341.05","2,024"
"AKZOINDIA","EQ","13-Mar-2025","3,178.00","3,178.00","3,185.05","3,080.10","3,131.00","3,124.50","3,124.30","9,408","2,93,93,426.40","2,239"
"AKZOINDIA","EQ","12-Mar-2025","3,210.70","3,211.00","3,240.00","3,160.00","3,188.00","3,178.00","3,193.34","4,401","1,40,53,878.90","1,449"
"AKZOINDIA","EQ","11-Mar-2025","3,293.30","3,230.05","3,289.70","3,180.15","3,210.00","3,210.70","3,207.73","13,755","4,41,22,268.05","6,212"
"AKZOINDIA","EQ","10-Mar-2025","3,289.50","3,325.00","3,325.45","3,226.05","3,285.00","3,293.30","3,273.97","9,049","2,96,26,139.75","3,941"
"AKZOINDIA","EQ","07-Mar-2025","3,263.25","3,260.05","3,354.05","3,242.00","3,269.00","3,289.50","3,311.11","11,084","3,67,00,361.85","3,283"
"AKZOINDIA","EQ","06-Mar-2025","3,174.65","3,200.00","3,291.15","3,187.25","3,260.00","3,263.25","3,251.34","7,601","2,47,13,447.85","2,517"
"AKZOINDIA","EQ","05-Mar-2025","3,143.10","3,120.00","3,198.95","3,120.00","3,170.00","3,174.65","3,158.28","11,745","3,70,93,976.00","3,242"
"AKZOINDIA","EQ","04-Mar-2025","3,110.40","3,063.75","3,160.00","3,063.75","3,140.00","3,143.10","3,128.96","4,934","1,54,38,295.55","1,934"
"AKZOINDIA","EQ","03-Mar-2025","3,110.25","3,110.25","3,132.15","3,022.00","3,125.10","3,110.40","3,091.89","7,207","2,22,83,274.20","2,620"
"AKZOINDIA","EQ","28-Feb-2025","3,234.75","3,226.65","3,237.25","3,072.90","3,165.10","3,110.25","3,113.75","21,263","6,62,07,647.10","6,860"
"AKZOINDIA","EQ","27-Feb-2025","3,319.80","3,350.00","3,372.70","3,206.00","3,225.15","3,234.75","3,277.57","7,320","2,39,91,817.60","2,826"
"AKZOINDIA","EQ","25-Feb-2025","3,273.75","3,303.00","3,350.00","3,220.00","3,349.45","3,319.80","3,297.63","34,869","11,49,85,211.70","7,880"
"AKZOINDIA","EQ","24-Feb-2025","3,257.05","3,257.05","3,304.75","3,172.80","3,272.00","3,273.75","3,258.22","11,654","3,79,71,353.50","6,248"
"AKZOINDIA","EQ","21-Feb-2025","3,289.45","3,289.55","3,300.65","3,187.55","3,267.90","3,257.05","3,229.37","13,867","4,47,81,648.70","3,131"
"AKZOINDIA","EQ","20-Feb-2025","3,293.45","3,293.45","3,305.50","3,220.10","3,300.00","3,289.45","3,263.20","8,858","2,89,05,468.80","2,288"
"AKZOINDIA","EQ","19-Feb-2025","3,324.80","3,332.65","3,334.45","3,204.00","3,275.05","3,293.45","3,270.79","18,123","5,92,76,573.15","4,471"
"AKZOINDIA","EQ","18-Feb-2025","3,342.80","3,342.80","3,442.80","3,242.50","3,328.00","3,324.80","3,298.05","7,139","2,35,44,812.35","1,900"
"AKZOINDIA","EQ","17-Feb-2025","3,249.40","3,229.40","3,359.00","3,170.05","3,352.00","3,342.80","3,293.29","11,882","3,91,30,882.25","3,975"
"AKZOINDIA","EQ","14-Feb-2025","3,282.50","3,277.00","3,320.00","3,116.25","3,290.05","3,249.40","3,198.51","23,870","7,63,48,461.05","4,621"
"AKZOINDIA","EQ","13-Feb-2025","3,422.15","3,352.00","3,434.85","3,270.05","3,298.70","3,282.50","3,341.93","16,477","5,50,65,058.10","5,085"
"AKZOINDIA","EQ","12-Feb-2025","3,473.60","3,473.60","3,473.60","3,307.85","3,459.00","3,422.15","3,373.96","14,945","5,04,23,868.20","3,536"
"AKZOINDIA","EQ","11-Feb-2025","3,626.10","3,650.00","3,677.15","3,405.55","3,440.00","3,473.60","3,500.37","9,465","3,31,31,024.75","2,224"
"AKZOINDIA","EQ","10-Feb-2025","3,620.15","3,664.95","3,690.00","3,467.55","3,690.00","3,626.10","3,560.63","14,760","5,25,54,912.25","3,744"
